# Intensity	Name	Signal	Start Time	End Time	Duration
# hh mm
# hh mm	dd/mon/yyyy	hh mm	dd/mon/yyyy
Severe Tropical Storm	NOCK-TEN	3	18:45	28/Jul/2011	14:10	29/Jul/2011	19 25
Severe Tropical Storm	NOCK-TEN	1	14:10	29/Jul/2011	16:40	29/Jul/2011	02 30
Typhoon	NESAT	1	22:40	27/Sep/2011	17:20	28/Sep/2011	18 40
Typhoon	NESAT	3	17:20	28/Sep/2011	04:40	29/Sep/2011	11 20
Typhoon	NESAT	8 SE	04:40	29/Sep/2011	16:10	29/Sep/2011	11 30
Typhoon	NESAT	3	16:10	29/Sep/2011	00:20	30/Sep/2011	08 10
Typhoon	NESAT	1	00:20	30/Sep/2011	06:25	30/Sep/2011	06 05
Severe Typhoon	NALGAE	1	10:40	02/Oct/2011	06:40	03/Oct/2011	20 00
Severe Typhoon	NALGAE	3	06:40	03/Oct/2011	19:10	03/Oct/2011	12 30
Severe Tropical Storm	TALIM	1	16:20	17/Jun/2012	22:40	18/Jun/2012	30 20
Severe Tropical Storm	TALIM	3	22:40	18/Jun/2012	10:20	19/Jun/2012	11 40
Severe Tropical Storm	TALIM	1	10:20	19/Jun/2012	20:40	19/Jun/2012	10 20
Tropical Storm	DOKSURI	1	21:40	28/Jun/2012	16:20	29/Jun/2012	18 40
Tropical Storm	DOKSURI	3	16:20	29/Jun/2012	23:05	29/Jun/2012	06 45
Tropical Storm	DOKSURI	8 NE	23:05	29/Jun/2012	00:40	30/Jun/2012	01 35
Tropical Storm	DOKSURI	8 SE	00:40	30/Jun/2012	03:25	30/Jun/2012	02 45
Tropical Storm	DOKSURI	3	03:25	30/Jun/2012	06:40	30/Jun/2012	03 15
Tropical Storm	DOKSURI	1	06:40	30/Jun/2012	08:15	30/Jun/2012	01 35
Severe Typhoon	VICENTE	1	15:40	21/Jul/2012	05:20	23/Jul/2012	37 40
Severe Typhoon	VICENTE	3	05:20	23/Jul/2012	17:40	23/Jul/2012	12 20
Severe Typhoon	VICENTE	8 NE	17:40	23/Jul/2012	23:20	23/Jul/2012	05 40
Severe Typhoon	VICENTE	9	23:20	23/Jul/2012	00:45	24/Jul/2012	01 25
Severe Typhoon	VICENTE	10	00:45	24/Jul/2012	03:35	24/Jul/2012	02 50
Severe Typhoon	VICENTE	8 SE	03:35	24/Jul/2012	10:10	24/Jul/2012	06 35
Severe Typhoon	VICENTE	3	10:10	24/Jul/2012	14:40	24/Jul/2012	04 30
Severe Typhoon	VICENTE	1	14:40	24/Jul/2012	23:15	24/Jul/2012	08 35
Typhoon	KAI-TAK	1	20:10	15/Aug/2012	13:40	16/Aug/2012	17 30
Typhoon	KAI-TAK	3	13:40	16/Aug/2012	22:15	16/Aug/2012	08 35
Typhoon	KAI-TAK	8 SE	22:15	16/Aug/2012	06:20	17/Aug/2012	08 05
Typhoon	KAI-TAK	3	06:20	17/Aug/2012	15:20	17/Aug/2012	09 00
Typhoon	KAI-TAK	1	15:20	17/Aug/2012	16:25	17/Aug/2012	01 05
Severe Typhoon	TEMBIN	1	22:40	24/Aug/2012	16:40	26/Aug/2012	42 00
Tropical Storm	BEBINCA	1	07:40	21/Jun/2013	20:20	21/Jun/2013	12 40
Tropical Storm	BEBINCA	3	20:20	21/Jun/2013	09:10	22/Jun/2013	12 50
Tropical Storm	BEBINCA	1	09:10	22/Jun/2013	11:15	22/Jun/2013	02 05
Severe Tropical Storm	RUMBIA	1	21:10	30/Jun/2013	13:15	01/Jul/2013	16 05
Severe Tropical Storm	RUMBIA	3	13:15	01/Jul/2013	05:10	02/Jul/2013	15 55
Severe Tropical Storm	RUMBIA	1	05:10	02/Jul/2013	09:40	02/Jul/2013	04 30
Tropical Storm	CIMARON	1	23:20	17/Jul/2013	15:40	18/Jul/2013	16 20
Severe Tropical Storm	JEBI	1	09:40	01/Aug/2013	16:10	01/Aug/2013	06 30
Severe Tropical Storm	JEBI	3	16:10	01/Aug/2013	22:15	02/Aug/2013	30 05
Super Typhoon	UTOR	1	16:05	12/Aug/2013	04:40	13/Aug/2013	12 35
Super Typhoon	UTOR	3	04:40	13/Aug/2013	01:40	14/Aug/2013	21 00
Super Typhoon	UTOR	8 SE	01:40	14/Aug/2013	13:40	14/Aug/2013	12 00
Super Typhoon	UTOR	3	13:40	14/Aug/2013	01:40	15/Aug/2013	12 00
Super Typhoon	UTOR	1	01:40	15/Aug/2013	16:40	15/Aug/2013	15 00
Super Typhoon	USAGI	1	10:40	21/Sep/2013	23:40	21/Sep/2013	13 00
Super Typhoon	USAGI	3	23:40	21/Sep/2013	18:40	22/Sep/2013	19 00
Super Typhoon	USAGI	8 NW	18:40	22/Sep/2013	00:25	23/Sep/2013	05 45
Super Typhoon	USAGI	8 SW	00:25	23/Sep/2013	09:20	23/Sep/2013	08 55
Super Typhoon	USAGI	3	09:20	23/Sep/2013	10:25	23/Sep/2013	01 05
Severe Typhoon	KROSA	1	15:20	01/Nov/2013	22:50	03/Nov/2013	55 30
Tropical Storm	HAGIBIS	1	17:40	14/Jun/2014	13:20	15/Jun/2014	19 40
Super Typhoon	RAMMASUN	1	23:40	16/Jul/2014	16:15	17/Jul/2014	16 35
Super Typhoon	RAMMASUN	3	16:15	17/Jul/2014	19:40	18/Jul/2014	27 25
Super Typhoon	RAMMASUN	1	19:40	18/Jul/2014	03:40	19/Jul/2014	08 00
Tropical Depression	no name	1	09:40	07/Sep/2014	09:10	08/Sep/2014	23 30
Typhoon	KALMAEGI	1	23:35	14/Sep/2014	12:40	15/Sep/2014	13 05
Typhoon	KALMAEGI	3	12:40	15/Sep/2014	22:30	15/Sep/2014	09 50
Typhoon	KALMAEGI	8 SE	22:30	15/Sep/2014	10:40	16/Sep/2014	12 10
Typhoon	KALMAEGI	3	10:40	16/Sep/2014	20:40	16/Sep/2014	10 00
Typhoon	KALMAEGI	1	20:40	16/Sep/2014	02:10	17/Sep/2014	05 30
Tropical Storm	KUJIRA	1	21:40	21/Jun/2015	07:40	23/Jun/2015	34 00
Typhoon	LINFA	1	07:40	08/Jul/2015	08:40	09/Jul/2015	25 00
Typhoon	LINFA	3	08:40	09/Jul/2015	16:40	09/Jul/2015	08 00
Typhoon	LINFA	8 NW	16:40	09/Jul/2015	22:10	09/Jul/2015	05 30
Typhoon	LINFA	3	22:10	09/Jul/2015	05:50	10/Jul/2015	07 40
Severe Typhoon	MUJIGAE	1	20:40	02/Oct/2015	10:20	03/Oct/2015	13 40
Severe Typhoon	MUJIGAE	3	10:20	03/Oct/2015	20:40	04/Oct/2015	34 20
Severe Typhoon	MUJIGAE	1	20:40	04/Oct/2015	05:20	05/Oct/2015	08 40
Tropical Depression	no name	1	21:40	26/May/2016	05:40	27/May/2016	08 00
Tropical Depression	no name	3	05:40	27/May/2016	13:40	27/May/2016	08 00
Tropical Depression	no name	1	13:40	27/May/2016	22:50	27/May/2016	09 10
Severe Tropical Storm	MIRINAE	1	08:40	26/Jul/2016	23:20	26/Jul/2016	14 40
Typhoon	NIDA	1	22:10	31/Jul/2016	11:40	01/Aug/2016	13 30
Typhoon	NIDA	3	11:40	01/Aug/2016	20:40	01/Aug/2016	09 00
Typhoon	NIDA	8 NW	20:40	01/Aug/2016	04:40	02/Aug/2016	08 00
Typhoon	NIDA	8 SW	04:40	02/Aug/2016	12:40	02/Aug/2016	08 00
Typhoon	NIDA	3	12:40	02/Aug/2016	17:10	02/Aug/2016	04 30
Tropical Storm	DIANMU	1	11:30	17/Aug/2016	22:15	17/Aug/2016	10 45
Tropical Storm	DIANMU	3	22:15	17/Aug/2016	11:15	18/Aug/2016	13 00
Tropical Storm	DIANMU	1	11:15	18/Aug/2016	13:15	18/Aug/2016	02 00
Super Typhoon	MERANTI	1	10:10	14/Sep/2016	04:20	15/Sep/2016	18 10
Severe Typhoon	MEGI	1	08:40	28/Sep/2016	23:10	28/Sep/2016	14 30
Tropical Storm	AERE	1	20:40	06/Oct/2016	03:45	09/Oct/2016	55 05
Super Typhoon	SARIKA	1	21:20	16/Oct/2016	13:40	17/Oct/2016	16 20
Super Typhoon	SARIKA	3	13:40	17/Oct/2016	22:10	18/Oct/2016	32 30
Super Typhoon	HAIMA	1	08:20	20/Oct/2016	20:40	20/Oct/2016	12 20
Super Typhoon	HAIMA	3	20:40	20/Oct/2016	06:10	21/Oct/2016	09 30
Super Typhoon	HAIMA	8 NW	06:10	21/Oct/2016	14:15	21/Oct/2016	08 05
Super Typhoon	HAIMA	8 SW	14:15	21/Oct/2016	17:20	21/Oct/2016	03 05
Super Typhoon	HAIMA	3	17:20	21/Oct/2016	22:10	21/Oct/2016	04 50
Severe Tropical Storm	MERBOK	1	19:40	11/Jun/2017	10:40	12/Jun/2017	15 00
Severe Tropical Storm	MERBOK	3	10:40	12/Jun/2017	17:20	12/Jun/2017	06 40
Severe Tropical Storm	MERBOK	8 NE	17:20	12/Jun/2017	20:20	12/Jun/2017	03 00
Severe Tropical Storm	MERBOK	8 NW	20:20	12/Jun/2017	00:10	13/Jun/2017	03 50
Severe Tropical Storm	MERBOK	8 SW	00:10	13/Jun/2017	04:40	13/Jun/2017	04 30
